,date,open,high,low,close,volume,amount,outstanding_share,turnover
362,2023-09-26,1420.79,1425.86,1410.66,1413.2,44498035.0,497885811.0,19405546950.0,0.002293057501272851
363,2023-09-27,1411.93,1420.79,1411.93,1414.46,49031061.0,547905821.0,19405546950.0,0.0025266518447706007
364,2023-09-28,1417.0,1423.33,1415.73,1418.26,52069678.0,583649730.0,19405546950.0,0.002683236815440546
365,2023-10-09,1413.2,1414.46,1400.53,1406.86,69582809.0,772959353.0,19405546950.0,0.003585717484762778
366,2023-10-10,1417.0,1418.26,1395.47,1395.47,82074851.0,910160342.0,19405546950.0,0.004229453115208381
367,2023-10-11,1404.33,1404.33,1387.87,1390.4,72411569.0,797663827.0,19405546950.0,0.00373148817637423
368,2023-10-12,1406.86,1413.2,1398.0,1406.86,85305750.0,947562325.0,19405546950.0,0.004395946696055377
369,2023-10-13,1396.73,1401.8,1386.6,1392.94,68448308.0,753110726.0,19405546950.0,0.0035272547677405197
370,2023-10-16,1392.94,1396.73,1386.6,1394.2,50162432.0,550988720.0,19405546950.0,0.002584953267704727
371,2023-10-17,1394.2,1399.27,1387.87,1395.47,49352505.0,543170901.0,19405546950.0,0.0025432163869001383
372,2023-10-18,1391.67,1395.47,1381.54,1386.6,65182492.0,713979896.0,19405546950.0,0.0033589618560068467
373,2023-10-19,1381.54,1382.8,1341.02,1342.28,118896083.0,1271914677.0,19405546950.0,0.006126912233205568
374,2023-10-20,1335.95,1351.15,1330.89,1342.28,52613912.0,557618632.0,19405546950.0,0.002711282095555673
375,2023-10-23,1341.02,1342.28,1320.76,1329.62,53040448.0,557032229.0,19405546950.0,0.002733262202640467
376,2023-10-24,1334.69,1343.55,1322.02,1335.95,76065269.0,801528404.0,19405546950.0,0.00391976939356507
377,2023-10-25,1330.89,1334.69,1311.89,1314.42,141144968.0,1470971924.0,19405546950.0,0.007273434155897368
378,2023-10-26,1305.56,1319.49,1304.29,1318.22,59999147.0,621915277.0,19405546950.0,0.0030918554965027665
379,2023-10-27,1314.42,1327.09,1308.09,1323.29,91977136.0,957587534.0,19405546950.0,0.0047397342747919815
380,2023-10-30,1316.96,1325.82,1310.63,1323.29,80568955.0,837646002.0,19405546950.0,0.004151851798230299
381,2023-10-31,1320.76,1328.35,1318.22,1324.55,65285523.0,682212138.0,19405546950.0,0.003364271214215892
382,2023-11-01,1335.95,1337.22,1323.29,1327.09,56730035.0,595211885.0,19405546950.0,0.0029233927364258083
383,2023-11-02,1329.62,1342.28,1325.82,1327.09,61942995.0,652316670.0,19405546950.0,0.003192025205968235
384,2023-11-03,1328.35,1332.15,1320.76,1327.09,70546347.0,738879704.0,19405546950.0,0.003635370195015297
385,2023-11-06,1330.89,1353.68,1330.89,1353.68,100706221.0,1069206838.0,19405546950.0,0.0051895584937377915
386,2023-11-07,1349.88,1349.88,1339.75,1342.28,64086612.0,679815569.0,19405546950.0,0.003302489343130831
387,2023-11-08,1339.75,1342.28,1323.29,1329.62,87781875.0,923622008.0,19405546950.0,0.004523545521606645
388,2023-11-09,1324.55,1332.15,1320.76,1328.35,63913648.0,669639052.0,19405546950.0,0.0032935762215143337
389,2023-11-10,1323.29,1325.82,1303.03,1304.29,104504417.0,1080649734.0,19405546950.0,0.005385285829317993
390,2023-11-13,1305.56,1308.09,1294.16,1297.96,77004310.0,789007118.0,19405546950.0,0.003968159732802584
391,2023-11-14,1296.7,1308.09,1295.43,1300.5,59685888.0,613377698.0,19405546950.0,0.0030757127409902765
392,2023-11-15,1313.16,1323.29,1309.36,1313.16,110914015.0,1152154780.0,19405546950.0,0.005715583038487869
393,2023-11-16,1314.42,1315.69,1295.43,1296.7,92262194.0,948395097.0,19405546950.0,0.004754423786029901
394,2023-11-17,1294.16,1297.96,1281.5,1285.3,90336217.0,917616681.0,19405546950.0,0.004655174998816511
395,2023-11-20,1285.3,1294.16,1278.97,1290.36,63952831.0,650077370.0,19405546950.0,0.0032955953864521196
396,2023-11-21,1295.43,1310.63,1294.16,1301.76,104116573.0,1072311504.0,19405546950.0,0.005365299585127128
397,2023-11-22,1299.23,1305.56,1284.03,1286.57,73748951.0,753064758.0,19405546950.0,0.0038004056876119125
398,2023-11-23,1285.3,1286.57,1275.17,1285.3,84665587.0,855904312.0,19405546950.0,0.0043629580355631255
399,2023-11-24,1280.23,1282.77,1276.44,1278.97,68469456.0,691423444.0,19405546950.0,0.0035283445592343894
400,2023-11-27,1277.7,1277.7,1262.51,1267.57,83618785.0,836268369.0,19405546950.0,0.004309014593376354
401,2023-11-28,1265.04,1268.84,1259.97,1259.97,78617469.0,784405805.0,19405546950.0,0.004051288489964463
402,2023-11-29,1259.97,1262.51,1228.32,1230.85,146759662.0,1438320264.0,19405546950.0,0.007562768644354031
403,2023-11-30,1227.05,1232.11,1218.19,1225.78,90176457.0,871481712.0,19405546950.0,0.004646942301206305
404,2023-12-01,1221.98,1225.78,1213.12,1223.25,77805699.0,749668364.0,19405546950.0,0.00400945663631501
405,2023-12-04,1224.52,1225.78,1216.92,1219.45,60543785.0,583664338.0,19405546950.0,0.003119921595407544
406,2023-12-05,1216.92,1218.19,1199.19,1200.46,78737848.0,750961220.0,19405546950.0,0.004057491819368688
407,2023-12-06,1195.39,1211.85,1190.33,1202.99,75305592.0,714029469.0,19405546950.0,0.003880621978552375
408,2023-12-07,1201.72,1201.72,1187.79,1195.39,58538019.0,552224831.0,19405546950.0,0.0030165611487698884
409,2023-12-08,1191.59,1196.66,1177.66,1177.66,102115150.0,957664581.0,19405546950.0,0.005262162940478212
410,2023-12-11,1167.53,1187.79,1156.14,1184.0,113366281.0,1044765735.0,19405546950.0,0.005841952370221649
411,2023-12-12,1178.93,1202.99,1177.66,1192.86,85501642.0,805067628.0,19405546950.0,0.004406041335516184
412,2023-12-13,1187.79,1189.06,1158.67,1159.94,106130165.0,981001231.0,19405546950.0,0.005469063318516771
413,2023-12-14,1166.27,1175.13,1158.67,1158.67,74290056.0,683211466.0,19405546950.0,0.003828289725170565
414,2023-12-15,1165.0,1184.0,1163.73,1166.27,98893942.0,915126127.0,19405546950.0,0.005096168752924534
415,2023-12-18,1162.47,1170.07,1151.07,1156.14,65442562.0,599379044.0,19405546950.0,0.003372363694185904
416,2023-12-19,1154.87,1161.2,1148.54,1152.34,64407088.0,586716664.0,19405546950.0,0.00331900400261586
417,2023-12-20,1153.6,1158.67,1143.47,1143.47,71563363.0,650511343.0,19405546950.0,0.0036877787152502805
418,2023-12-21,1140.94,1163.73,1138.41,1161.2,101704676.0,925407073.0,19405546950.0,0.005241010534876988
419,2023-12-22,1163.73,1175.13,1153.6,1165.0,100564502.0,924998769.0,19405546950.0,0.005182255478761447
420,2023-12-25,1162.47,1165.0,1157.4,1163.73,41397088.0,379638234.0,19405546950.0,0.0021332605623878074
421,2023-12-26,1163.73,1165.0,1148.54,1152.34,54189633.0,493746623.0,19405546950.0,0.0027924816105221913
422,2023-12-27,1152.34,1156.14,1142.21,1154.87,64153435.0,582036661.0,19405546950.0,0.003305932843083302
423,2023-12-28,1153.6,1199.19,1149.8,1196.66,166159184.0,1550256591.0,19405546950.0,0.008562458168693875
424,2023-12-29,1192.86,1200.46,1184.0,1189.06,85385279.0,803196744.0,19405546950.0,0.00440004495724868
425,2024-01-02,1189.06,1192.86,1166.27,1166.27,115836645.0,1075742252.0,19405546950.0,0.005969254321893771
426,2024-01-03,1163.73,1167.53,1158.67,1165.0,73361031.0,673673614.0,19405546950.0,0.0037804155270150736
427,2024-01-04,1163.73,1163.73,1149.8,1153.6,86419399.0,787470082.0,19405546950.0,0.0044533348749544
428,2024-01-05,1152.34,1195.39,1148.54,1173.86,199162216.0,1852659692.0,19405546950.0,0.010263159111833228
429,2024-01-08,1168.8,1177.66,1153.6,1158.67,112115619.0,1029006549.0,19405546950.0,0.005777503684326712
430,2024-01-09,1159.94,1163.73,1151.07,1162.47,76619388.0,700375720.0,19405546950.0,0.00394832406411508
431,2024-01-10,1159.94,1163.73,1151.07,1151.07,85862091.0,783771150.0,19405546950.0,0.004424615869948464
432,2024-01-11,1149.8,1167.53,1143.47,1161.2,93468637.0,853890237.0,19405546950.0,0.0048165937935596296
433,2024-01-12,1156.14,1173.86,1153.6,1163.73,77258215.0,711018266.0,19405546950.0,0.003981243878312845
434,2024-01-15,1159.94,1176.4,1156.14,1166.27,74513266.0,685950951.0,19405546950.0,0.0038397921064523255
435,2024-01-16,1163.73,1184.0,1159.94,1182.73,143831258.0,1334465409.0,19405546950.0,0.007411863132257656
436,2024-01-17,1181.46,1189.06,1168.8,1168.8,148229621.0,1380725065.0,19405546950.0,0.007638518068154735
437,2024-01-18,1166.27,1170.07,1139.67,1165.0,175513247.0,1597853727.0,19405546950.0,0.009044488539912039
438,2024-01-19,1159.94,1165.0,1152.34,1161.2,96398142.0,881865024.0,19405546950.0,0.004967556042010967
439,2024-01-22,1159.94,1172.6,1144.74,1152.34,158031966.0,1449858242.0,19405546950.0,0.008143649153882777
440,2024-01-23,1146.01,1162.47,1134.61,1159.94,113554458.0,1030898421.0,19405546950.0,0.005851649442944457
441,2024-01-24,1168.8,1182.73,1148.54,1181.46,175912316.0,1620099272.0,19405546950.0,0.009065053226958903
442,2024-01-25,1181.46,1208.05,1173.86,1202.99,216251395.0,2037648413.0,19405546950.0,0.011143792831873774
443,2024-01-26,1199.19,1224.52,1195.39,1218.19,227228706.0,2172799799.0,19405546950.0,0.011709471863146841
444,2024-01-29,1227.05,1251.11,1213.12,1228.32,237625184.0,2312173346.0,19405546950.0,0.012245219607170104
445,2024-01-30,1216.92,1228.32,1201.72,1202.99,157912214.0,1515156604.0,19405546950.0,0.008137478134827836
446,2024-01-31,1197.92,1210.59,1187.79,1197.92,135721747.0,1286857397.0,19405546950.0,0.006993966588506798
447,2024-02-01,1191.59,1200.46,1182.73,1191.59,105525987.0,993481907.0,19405546950.0,0.0054379290247214595
448,2024-02-02,1192.86,1199.19,1148.54,1173.86,163421431.0,1520605695.0,19405546950.0,0.008421377218641085
449,2024-02-05,1163.73,1194.13,1153.6,1187.79,180359190.0,1674566499.0,19405546950.0,0.009294208015095395
450,2024-02-06,1177.66,1225.78,1176.4,1225.78,199540954.0,1900324218.0,19405546950.0,0.010282676108750442
451,2024-02-07,1218.19,1224.52,1200.46,1216.92,206201497.0,1975435102.0,19405546950.0,0.01062590492972423
452,2024-02-08,1213.12,1224.52,1205.52,1224.52,165681384.0,1593505690.0,19405546950.0,0.008537836342716432
453,2024-02-19,1235.91,1242.25,1221.98,1242.25,160524265.0,1564088445.0,19405546950.0,0.00827208145246326
454,2024-02-20,1239.71,1246.04,1232.11,1243.51,112356398.0,1098987813.0,19405546950.0,0.005789911425299971
455,2024-02-21,1238.45,1367.61,1237.18,1367.61,505528460.0,5295259397.0,19405546950.0,0.02605071948255496
456,2024-02-22,1348.61,1381.54,1344.82,1380.27,492232512.0,5307736374.0,19405546950.0,0.02536555724341488
457,2024-02-23,1377.74,1423.33,1372.67,1373.94,356747950.0,3917316282.0,19405546950.0,0.018383813191104104
458,2024-02-26,1365.08,1377.74,1329.62,1333.42,286260888.0,3048205025.0,19405546950.0,0.014751498050406665
